,return,correct,predictions,home,away,seed,cost,gamma
0,78.8999999999998,452,1089,355,734,0,1,0.0001
1,52.0,452,1091,364,727,0,10,0.0001
2,-8.099999999999149,413,1069,470,599,0,100,0.0001
3,-233.99999999999966,396,1057,455,602,0,1000,0.0001
4,44.50000000000011,411,1054,463,591,0,10000,0.0001
5,56.49999999999977,451,1088,362,726,0,1,0.001
6,-18.099999999999035,412,1068,469,599,0,10,0.001
7,-210.09999999999994,397,1058,455,603,0,100,0.001
8,-19.29999999999972,407,1057,468,589,0,1000,0.001
9,141.2000000000009,408,1056,462,594,0,10000,0.001
10,-62.099999999999284,409,1064,467,597,0,1,0.01
11,-132.29999999999998,404,1074,466,608,0,10,0.01
12,44.90000000000086,405,1056,465,591,0,100,0.01
13,241.30000000000047,412,1060,461,599,0,1000,0.01
14,387.4000000000002,414,1063,487,576,0,10000,0.01
15,97.50000000000043,418,1083,488,595,0,1,0.1
16,207.70000000000044,422,1072,486,586,0,10,0.1
17,249.49999999999977,417,1065,487,578,0,100,0.1
18,329.5999999999998,410,1100,490,610,0,1000,0.1
19,516.0000000000001,397,1117,515,602,0,10000,0.1
20,140.19999999999982,424,1085,516,569,0,1,1
21,180.89999999999947,406,1099,521,578,0,10,1
22,225.60000000000025,388,1138,531,607,0,100,1
23,410.69999999999965,384,1142,512,630,0,1000,1
24,478.0999999999999,385,1140,505,635,0,10000,1
25,344.0000000000001,428,1136,540,596,0,1,10
26,238.60000000000002,408,1146,524,622,0,10,10
27,116.20000000000064,397,1140,523,617,0,100,10
28,152.7000000000007,392,1133,517,616,0,1000,10
29,152.7000000000007,392,1133,517,616,0,10000,10
30,564.0000000000001,394,1162,525,637,0,1,100
31,596.3999999999997,397,1162,532,630,0,10,100
32,596.3999999999997,397,1162,532,630,0,100,100
33,596.3999999999997,397,1162,532,630,0,1000,100
34,596.3999999999997,397,1162,532,630,0,10000,100
